seed,numerRuns,rounds,outcome
2153788083978606662,5,35,loss
2629724389786842157,1,26,loss
2629724389786842157,2,26,loss
2629724389786842157,3,26,loss
2629724389786842157,4,26,loss
2629724389786842157,5,26,loss
8859126063667093352,1,31,loss
8859126063667093352,2,31,loss
8859126063667093352,3,31,loss
8859126063667093352,4,31,loss
8859126063667093352,5,31,loss
7394772957464781242,1,45,loss
7394772957464781242,2,45,loss
7394772957464781242,3,45,loss
7394772957464781242,4,45,loss
7394772957464781242,5,45,loss
4634784886166892114,1,11,loss
4634784886166892114,2,11,loss
4634784886166892114,3,11,loss
4634784886166892114,4,11,loss
4634784886166892114,5,11,loss
6075996629926429701,1,27,loss
6075996629926429701,2,27,loss
6075996629926429701,3,27,loss
6075996629926429701,4,27,loss
6075996629926429701,5,27,loss
2214900687852023752,1,79,loss
2214900687852023752,2,79,loss
2214900687852023752,3,79,loss
2214900687852023752,4,79,loss
2214900687852023752,5,79,loss
9048104050268189917,1,20,win
9048104050268189917,2,20,win
9048104050268189917,3,20,win
9048104050268189917,4,20,win
9048104050268189917,5,20,win
608468537293395668,1,18,loss
608468537293395668,2,18,loss
608468537293395668,3,18,loss
608468537293395668,4,18,loss
608468537293395668,5,18,loss
4053187115977649287,1,101,win
4053187115977649287,2,101,win
4053187115977649287,3,101,win
4053187115977649287,4,101,win
4053187115977649287,5,101,win
3629841528223372184,1,27,loss
3629841528223372184,2,27,loss
3629841528223372184,3,27,loss
3629841528223372184,4,27,loss
3629841528223372184,5,27,loss
4695611623453538321,1,26,win
4695611623453538321,2,26,win
4695611623453538321,3,26,win
4695611623453538321,4,26,win
4695611623453538321,5,26,win
1000101209797792150,1,32,loss
1000101209797792150,2,32,loss
1000101209797792150,3,32,loss
1000101209797792150,4,32,loss
1000101209797792150,5,32,loss
6883451490954507546,1,43,loss
6883451490954507546,2,43,loss
6883451490954507546,3,43,loss
6883451490954507546,4,43,loss
6883451490954507546,5,43,loss
8054289740944702575,1,39,loss
8054289740944702575,2,39,loss
8054289740944702575,3,39,loss
8054289740944702575,4,39,loss
8054289740944702575,5,39,loss
8757956309804546857,1,25,loss
8757956309804546857,2,25,loss
8757956309804546857,3,25,loss
8757956309804546857,4,25,loss
8757956309804546857,5,25,loss
8765090283494025081,1,29,loss
8765090283494025081,2,29,loss
8765090283494025081,3,29,loss
8765090283494025081,4,29,loss
8765090283494025081,5,29,loss
1453450526861943141,1,25,loss
1453450526861943141,2,25,loss
1453450526861943141,3,25,loss
1453450526861943141,4,25,loss
1453450526861943141,5,25,loss
2530184480554230558,1,26,loss
2530184480554230558,2,26,loss
2530184480554230558,3,26,loss
2530184480554230558,4,26,loss
2530184480554230558,5,26,loss
495175899191400065,1,24,loss
495175899191400065,2,24,loss
495175899191400065,3,24,loss
495175899191400065,4,24,loss
495175899191400065,5,24,loss
1164650252139669146,1,46,loss
1164650252139669146,2,46,loss
1164650252139669146,3,46,loss
1164650252139669146,4,46,loss
1164650252139669146,5,46,loss
7523648241511919468,1,11,win
7523648241511919468,2,11,win
7523648241511919468,3,11,win
7523648241511919468,4,11,win
7523648241511919468,5,11,win
5003447751191231342,1,96,loss
5003447751191231342,2,96,loss
5003447751191231342,3,96,loss
5003447751191231342,4,96,loss
5003447751191231342,5,96,loss
7459237176987728840,1,19,win
7459237176987728840,2,19,win
7459237176987728840,3,19,win
7459237176987728840,4,19,win
7459237176987728840,5,19,win
6300483502251830939,1,30,loss
6300483502251830939,2,30,loss
6300483502251830939,3,30,loss
6300483502251830939,4,30,loss
6300483502251830939,5,30,loss
5619501686353607843,1,52,loss
5619501686353607843,2,52,loss
5619501686353607843,3,52,loss
5619501686353607843,4,52,loss
5619501686353607843,5,52,loss
2087868765041693514,1,16,loss
2087868765041693514,2,16,loss
2087868765041693514,3,16,loss
2087868765041693514,4,16,loss
2087868765041693514,5,16,loss
8173290077426194146,1,9,loss
8173290077426194146,2,9,loss
8173290077426194146,3,9,loss
8173290077426194146,4,9,loss
8173290077426194146,5,9,loss
2212596514450186866,1,15,win
2212596514450186866,2,15,win
2212596514450186866,3,15,win
2212596514450186866,4,15,win
2212596514450186866,5,15,win
8579034742161137167,1,20,loss
8579034742161137167,2,20,loss
8579034742161137167,3,20,loss
8579034742161137167,4,20,loss
8579034742161137167,5,20,loss
1748714264994563620,1,60,win
1748714264994563620,2,60,win
1748714264994563620,3,60,win
1748714264994563620,4,60,win
1748714264994563620,5,60,win
1931529832290528172,1,31,win
1931529832290528172,2,31,win
1931529832290528172,3,31,win
1931529832290528172,4,31,win
1931529832290528172,5,31,win
5453002774949003362,1,60,loss
5453002774949003362,2,60,loss
5453002774949003362,3,60,loss
5453002774949003362,4,60,loss
5453002774949003362,5,60,loss
2800482446401685525,1,19,loss
2800482446401685525,2,19,loss
2800482446401685525,3,19,loss
2800482446401685525,4,19,loss
2800482446401685525,5,19,loss
3992140894335241643,1,40,loss
3992140894335241643,2,40,loss
3992140894335241643,3,40,loss
3992140894335241643,4,40,loss
3992140894335241643,5,40,loss
6851722983349308751,1,37,loss
6851722983349308751,2,37,loss
6851722983349308751,3,37,loss
6851722983349308751,4,37,loss
6851722983349308751,5,37,loss
5346228012516914915,1,27,loss
5346228012516914915,2,27,loss
5346228012516914915,3,27,loss
5346228012516914915,4,27,loss
5346228012516914915,5,27,loss
2204445447795041116,1,47,loss
2204445447795041116,2,47,loss
2204445447795041116,3,47,loss
2204445447795041116,4,47,loss
2204445447795041116,5,47,loss
9136671184689594398,1,39,loss
9136671184689594398,2,39,loss
9136671184689594398,3,39,loss
9136671184689594398,4,39,loss
9136671184689594398,5,39,loss
5187644320266969822,1,27,loss
5187644320266969822,2,27,loss
5187644320266969822,3,27,loss
5187644320266969822,4,27,loss
5187644320266969822,5,27,loss
7718427134296140016,1,21,loss
7718427134296140016,2,21,loss
7718427134296140016,3,21,loss
7718427134296140016,4,21,loss
7718427134296140016,5,21,loss
8502806173437973504,1,32,loss
8502806173437973504,2,32,loss
8502806173437973504,3,32,loss
8502806173437973504,4,32,loss
8502806173437973504,5,32,loss
201067385048648255,1,32,loss
201067385048648255,2,32,loss
201067385048648255,3,32,loss
201067385048648255,4,32,loss
201067385048648255,5,32,loss
