seed,numerRuns,rounds,outcome
4814277829587698864,1,38,win
2209198257819533641,1,70,win
8455997266278942967,1,36,loss
6337141150810808238,1,27,win
3809907334512316117,1,41,loss
952452413461056878,1,57,win
6801871458996953787,1,54,win
4070347148677786425,1,53,win
8660360281097128715,1,43,win
4247581893104120360,1,17,win
3686201475099327448,1,26,loss
6600754819860099422,1,24,win
1222189413294427036,1,41,win
4460124528985858774,1,16,win
1047730849526234478,1,35,win
486189666532769351,1,26,win
2840809528236447041,1,30,loss
3518237721780321297,1,54,win
8940039712257541285,1,46,win
2912035551676126786,1,46,win
302190517945989331,1,31,win
7568068016230422468,1,49,win
8939781400231761847,1,39,win
4937200538304390885,1,25,win
6380664042368324816,1,32,win
1660350974758533432,1,22,loss
7937590867132556957,1,45,win
1815362667340891234,1,29,loss
8527552549056842185,1,38,win
1543026856425217128,1,43,win
3978533672475977667,1,16,win
774276973253232668,1,36,win
2278560415900099536,1,22,loss
1097061804851104756,1,16,loss
6952726560416177522,1,40,win
8807205629350689568,1,81,win
7682951672770235105,1,57,win
4913256346080731869,1,35,win
3693420445622258857,1,5,loss
8986258561692274434,1,58,win
2812715282675332693,1,107,win
788410267942727192,1,38,loss
6346790109466049831,1,33,win
9108620666537692865,1,36,win
2181624322072061647,1,25,win
9017945295388559077,1,55,win
7516081054292144204,1,17,win
1589960950475338784,1,32,win
225480699434826410,1,50,win
6364894783118340010,1,28,win
3727888940951763244,1,24,win
2834375131672961746,1,22,win
6643993375205771416,1,17,win
1712991860371899230,1,32,win
2490540048798191355,1,41,win
1792170429214889668,1,39,win
2040157780943156122,1,25,loss
1051136543327059812,1,34,win
3460949807910315222,1,77,win
2431097440677533492,1,38,win
4754924988186944589,1,26,loss
248935057198841878,1,27,win
5885136048794952951,1,21,loss
6003628684811335788,1,32,win
7207762370480422411,1,22,loss
3709454655293272546,1,29,loss
9058639334408176391,1,16,win
8022506721741253902,1,31,loss
4595243700121450632,1,51,win
1767111294705236086,1,25,loss
7819429389770126904,1,37,loss
2186654958075919636,1,70,loss
5651094144353272672,1,34,win
4137408232858915779,1,74,win
6652523523318074050,1,40,win
5750759109499685354,1,25,loss
1638118774351530562,1,92,loss
5732944713512695167,1,27,loss
2109374550326923677,1,18,win
4234778677907694627,1,17,win
1347933907964011777,1,39,win
2830142708634809280,1,30,win
